name,type,source,mean,sd,lowend,highend
105,2021,Seagrass,0.022,0.034,0,0.099
106,2021,Estuarine,0.032,0.055,0,0.158
106,2021,Freshwater,0.959,0.058,0.786,1
106,2021,Seagrass,0.009,0.017,0,0.046
107,2022,Estuarine,0.029,0.048,0,0.131
107,2022,Freshwater,0.958,0.053,0.817,1
107,2022,Seagrass,0.012,0.022,0,0.063
108,2022,Estuarine,0.429,0.198,0.012,0.753
108,2022,Freshwater,0.5,0.157,0.149,0.766
108,2022,Seagrass,0.071,0.067,0,0.192
109,2022,Estuarine,0.502,0.176,0.094,0.806
109,2022,Freshwater,0.477,0.166,0.1,0.753
109,2022,Seagrass,0.021,0.031,0,0.089
110,2022,Estuarine,0.086,0.104,0,0.298
110,2022,Freshwater,0.896,0.104,0.641,1
110,2022,Seagrass,0.017,0.027,0,0.077
111,2022,Estuarine,0.018,0.032,0,0.082
111,2022,Freshwater,0.974,0.037,0.874,1
111,2022,Seagrass,0.009,0.017,0,0.045
112,2022,Estuarine,0.071,0.092,0,0.264
112,2022,Freshwater,0.897,0.095,0.675,0.999
112,2022,Seagrass,0.031,0.039,0,0.112
113,2022,Estuarine,0.031,0.045,0,0.126
113,2022,Freshwater,0.845,0.069,0.715,0.99
113,2022,Seagrass,0.125,0.062,0,0.211
