common_name,species_name,sample_ID,Batch_ID,season,Date,Date_c,Month,Year,site,TL_cm,SL_cm,Weight_kg,d13C,d15N,d34S,N%,C%,S%,Count,,
Common Snook,Centropomus undecimalis,20FEB2021-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2021-02-20,2021-02-20,Feb,2021,RB8B3,,,,-25.96,10.57,16.43,6.26,20.57,0.34,1,,
Common Snook,Centropomus undecimalis,25086,191210_Massie(34S)+EA7,,2014-05-31,2014-05-31,May,2014,RB9B1,68,55.5,2.051,-25.74,12.34,16.48,7.99,25.47,0.352,1,,
Common Snook,Centropomus undecimalis,26143,191210_Massie(34S)+EA7,,2018-05-16,2018-05-16,May,2018,RB9B1,72,62.5,2.902,-25.92,11.88,20.68,7.75,26.54,0.358,1,,
Common Snook,Centropomus undecimalis,23090,191210_Massie(34S)+EA7,,2015-03-04,2015-03-04,Mar,2015,RB9B1,65.3,54.1,2.088,-26.85,12.28,22.3,7.5,25.81,0.416,1,,
Common Snook,Centropomus undecimalis,22FEB2020-SI-50-2,220204_Massie(34S) & 220209_Massie(CN),,2020-02-22,2020-02-22,Feb,2020,RB9B1,,,,-27.29,12.11,18.73,6.11,19.63,0.42,1,,
Common Snook,Centropomus undecimalis,32904,191210_Massie(34S)+EA7,,2014-01-21,2014-01-21,Jan,2014,RB9B1,67.5,55.2,2.212,-25.99,12.37,17.75,8.45,28.15,0.466,1,,
Common Snook,Centropomus undecimalis,29APR2019-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2019-04-29,2019-04-29,Apr,2019,RB9B2,,,,-26.14,12.05,21.14,7.55,24.05,0.31,1,,
Common Snook,Centropomus undecimalis,29APR-2019-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2019-04-29,2019-04-29,Apr,2019,RB9B2,,,,-26.79,11.66,21.63,5.87,19.2,0.38,1,,
Common Snook,Centropomus undecimalis,26136,191210_Massie(34S)+EA7,,2018-05-16,2018-05-16,May,2018,RB9B2,64,54.5,2.018,-26.45,10.66,19.76,8,26.7,0.411,1,,
Common Snook,Centropomus undecimalis,51326,191210_Massie(34S)+EA7,,2012-04-14,2012-04-14,Apr,2012,RB9B2,80,67,3.963,-26.66,12.61,21.51,9.57,30.78,0.472,1,,
Common Snook,Centropomus undecimalis,26141,191210_Massie(34S)+EA7,,2018-12-10,2018-12-10,Dec,2018,RB9B3,63,53.5,1.702,-26.01,10.15,8.59,7.43,25.1,0.335,1,,
Common Snook,Centropomus undecimalis,23085,191210_Massie(34S)+EA7,,2015-04-13,2015-04-13,Apr,2015,RB9B3,77,65,3.219,-26.34,13.76,21.63,6.96,22.72,0.338,1,,
Common Snook,Centropomus undecimalis,26146,191210_Massie(34S)+EA7,,2018-04-28,2018-04-28,Apr,2018,RB9B3,70.3,60.5,2.99,-26.95,11.46,25.02,7.82,25.85,0.363,1,,
Common Snook,Centropomus undecimalis,22182,191210_Massie(34S)+EA7,,2015-04-13,2015-04-13,Apr,2015,RB9B3,77,65,3.527,-27.03,12.71,23.86,9.11,30.17,0.577,1,,
Common Snook,Centropomus undecimalis,25FEB2019-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2019-02-25,2019-02-25,Feb,2019,TB1B2,,,,-25.17,9.8,7.32,9.29,30.62,0.29,1,,
Common Snook,Centropomus undecimalis,51312,191210_Massie(34S)+EA7,,2012-09-25,2012-09-25,Sep,2012,TB2B3,72,62,2.62,-23.68,11.18,6.97,8.26,27.19,0.471,1,,
Common Snook,Centropomus undecimalis,58418,191210_Massie(34S)+EA7,,2012-02-13,2012-02-13,Feb,2012,TB3,79,71,4.167,-22.7,12.66,7.22,6.99,24.32,0.444,1,,
Common Snook,Centropomus undecimalis,13FEB2012-AT-50-58420,220204_Massie(34S) & 220209_Massie(CN),,2012-02-13,2012-02-13,Feb,2012,TB3,,,,-20.14,11.71,7.22,6.28,20.54,0.45,1,,
Common Snook,Centropomus undecimalis,58427,191210_Massie(34S)+EA7,,2012-02-13,2012-02-13,Feb,2012,TB3,81,72,4.798,-19.19,12.91,10.42,7.49,26.3,0.499,1,,
Common Snook,Centropomus undecimalis,32902,191210_Massie(34S)+EA7,,2013-06-27,2013-06-27,Jun,2013,TB3B1,82,69.6,3.904,-24.55,12.05,5.96,8.44,26.8,0.404,1,,
Common Snook,Centropomus undecimalis,21973,191210_Massie(34S)+EA7,,2015-12-16,2015-12-16,Dec,2015,TB3B1,94,78,TOO BIG,-25.73,12.96,9.68,8.25,26.73,0.44,1,,
Common Snook,Centropomus undecimalis,23086,191210_Massie(34S)+EA7,,2015-03-07,2015-03-07,Mar,2015,TB3B1,81.5,69,4.053,-17.01,13.09,8.67,8.04,25.74,0.443,1,,
Common Snook,Centropomus undecimalis,58416,191210_Massie(34S)+EA7,,2012-03-05,2012-03-05,Mar,2012,TB3B2,59,50,1.549,-27.22,10.25,0.29,8.58,28.78,0.35,1,,
Common Snook,Centropomus undecimalis,58417,191210_Massie(34S)+EA7,,2012-03-05,2012-03-05,Mar,2012,TB3B2,81,68,>5,-18.58,12.48,7.87,8.58,26.55,0.414,1,,
Common Snook,Centropomus undecimalis,21968,191210_Massie(34S)+EA7,,2015-12-16,2015-12-16,Dec,2015,TB3B2,80,67,3.269,-25.82,12.94,14.18,9.43,30.62,0.44,1,,
Common Snook,Centropomus undecimalis,32894,191210_Massie(34S)+EA7,,2014-02-24,2014-02-24,Feb,2014,TB4B1,86,74,TOO BIG,-18.25,13.05,9.8,8.52,27.24,0.528,1,,
Common Snook,Centropomus undecimalis,51638,191210_Massie(34S)+EA7,,2016-12-15,2016-12-15,Dec,2016,TB4B2,57.3,47,1.238,-25.54,10.99,7.94,7,23.23,0.388,1,,
Common Snook,Centropomus undecimalis,51309,191210_Massie(34S)+EA7,,2012-03-24,2012-03-24,Mar,2012,TB4B2,72,60,2.863,-25.46,10.22,7.07,8.5,28.69,0.5,1,,
Common Snook,Centropomus undecimalis,22FEB2021-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2021-02-22,2021-02-22,Feb,2021,TB4B3,,,,-26.65,12.18,20.5,9.03,28.83,0.3,1,,
Common Snook,Centropomus undecimalis,18380,191210_Massie(34S)+EA7,,2017-03-03,2017-03-03,Mar,2017,TB4B3,72.7,62,3.03,-24.37,10.18,7.02,7.34,24.49,0.594,1,,
Common Snook,Centropomus undecimalis,10JAN2012-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2012-01-11,2012-01-11,Jan,2012,,,,,-18.84,11.46,10.74,6.45,21.89,0.22,1,,
